change_24h,market_cap,name,price,volume_24h
+0.00%,N/A,Kalissa,$0.004785,"$232,750"
+0.00%,N/A,Kalissa V2,$0.105,N/A
+0.00%,N/A,Kalkicoin,$0.00187,N/A
+0.00%,N/A,Kalkulus,$0.0003201,"$1,749"
-0.02%,N/A,Kalycoin,$0.0009501,N/A
+0.00%,N/A,Kamaleont,$0.00001998,$2.05 M
-5.64%,N/A,Kamino Finance,$0.04891,N/A
+1.78%,N/A,KanadeCoin,$0.00003857,"$13,018"
-3.08%,N/A,Kanagawa Nami,$0.001308,N/A
+0.00%,N/A,Kanaloa Network,$0.00009623,N/A
+0.00%,N/A,Kandyland DAO,$0.002604,N/A
+0.45%,N/A,Kang3n,$0.008188,N/A
+0.00%,N/A,Kanga Exchange Token,$2.50,N/A
+0.00%,N/A,Kangaroo Token,$0.000000007505,N/A
+0.00%,N/A,Kannagi Finance,$0.00006851,N/A
+0.00%,N/A,Kanpeki,$1.00,N/A
+0.00%,N/A,KAPEX Cryptocurrency Token,$0.00000000005674,N/A
+0.00%,N/A,Kappe,$0.00000000000003061,N/A
+0.00%,N/A,KaraStar,$0.00009919,$90
+0.19%,N/A,KaraStar UMY,$0.0009239,"$190,170"
-1.91%,N/A,Karate Combat,$0.001476,N/A
+0.27%,N/A,Karbun,$2.86,N/A
+0.00%,N/A,Kardia Info,$0.03265,$307
-1.62%,N/A,Karen,$0.0003606,N/A
+0.00%,N/A,KarenCoin,$0.0000000005537,"$76,573"
+1.37%,N/A,Karlsen,$0.00367,N/A
+0.00%,N/A,Karma DAO,$0.01601,N/A
+0.00%,N/A,KarmaDao,$0.005332,"$26,521"
-0.52%,N/A,Karmaverse,$0.009094,$139
+26.11%,N/A,Karmaverse Zombie,$0.001081,N/A
+0.00%,N/A,Karrot,$0.00000000005409,N/A
+0.00%,N/A,Kart Racing League,$0.00005141,N/A
+0.00%,N/A,KartBox,$0.0009445,N/A
+0.00%,N/A,Karşıyaka Taraftar Fan Token,$0.005404,N/A
+0.00%,N/A,Kashima Inu,$0.000000000001834,N/A
+0.00%,N/A,Katanela,$0.0002158,"$163,896"
+26.19%,N/A,Katchu Coin,$0.00256,N/A
+0.00%,N/A,Katsumi,$0.00000000001738,"$117,345"
+9.95%,N/A,Katt Daddy,$0.002323,$19
+1.91%,N/A,Katy Perry Fans,$0.0003952,N/A
+0.00%,N/A,KATZ Token,$0.00001554,N/A
+0.00%,N/A,Kauri,$0.01007,N/A
+0.00%,N/A,KAWAII,$0.000000000004888,$165
+3.91%,N/A,Kayserispor Token,$0.1922,N/A
+0.00%,N/A,Kazama Senshi,$0.0000000377,N/A
+0.00%,N/A,Kazoku INU,$0.000004291,N/A
+0.00%,N/A,KCC MemePad,$0.009629,N/A
+0.00%,N/A,kCoin,$24.71,N/A
+0.00%,N/A,KDLaunch,$73.74,N/A
+0.00%,N/A,KDSwap,$131.69,N/A
+0.00%,N/A,Keanu Inu,$0.000000000006189,N/A
+0.00%,N/A,Kebab Token,$0.1347,"$16,046"
+0.34%,N/A,KEEM JONG UNN,$0.0001679,N/A
+0.00%,N/A,Keep3r BSC Network,$0.1448,N/A
+0.00%,N/A,Keep4r,$0.000001905,N/A
+0.00%,N/A,Keeper Finance,$0.000542,"$72,150"
+0.61%,N/A,Keeps Coin,$0.00003588,N/A
+0.00%,N/A,Keeshond Coin,$0.00000003842,N/A
+0.00%,N/A,Kei Finance,$0.05731,N/A
+0.00%,N/A,Keiko,$0.000000002514,N/A
+0.00%,N/A,Keisuke Inu,$0.000000000003094,N/A
+0.00%,N/A,KEK AI,$0.000009068,N/A
+0.00%,N/A,KeK AI Token,$0.00000000007235,N/A
+0.00%,N/A,Kek Token,$0.0000000001957,N/A
+0.00%,N/A,Kek.finance,$0.01873,N/A
+0.00%,N/A,KeKChain,$0.0000147,N/A
+0.00%,N/A,KeKe Coin,$0.00000479,"$549,883"
-17.95%,N/A,Kekistan,$0.000007337,N/A
+0.00%,N/A,Kekobank,$0.001277,N/A
+0.00%,N/A,KEKW,$0.00000000004833,N/A
+0.00%,N/A,kekya,$0.000002688,$145
+2.74%,N/A,KELP,$0.008795,$6
-0.00%,N/A,Kelp Earned Points,$0.0282,N/A
+0.00%,N/A,Kelpie Inu,$0.0000000005156,N/A
+0.00%,N/A,KelVPN,$0.004986,N/A
+0.00%,N/A,kendoll janner,$0.000000000338,$2.31 M
+35.72%,N/A,Kendu Inu,$0.00007642,$46
-1.54%,N/A,KENKA METAVERSE,$0.0000001896,"$219,186"
-16.69%,N/A,Kennedy Coin,$0.0001542,N/A
+0.00%,N/A,Kennel Locker,$0.0000001358,N/A
+0.00%,N/A,Kenshi,$0.000000001603,"$24,350"
+3.96%,N/A,Kenshi V3,$0.02406,N/A
+0.00%,N/A,Kento,$0.00001948,"$34,891"
+6.86%,N/A,Kento,$0.0000000118,$84
-0.01%,N/A,Kephi Gallery,$0.0007601,N/A
+0.00%,N/A,Kepler Network,$0.000009996,N/A
+0.00%,N/A,Kepler452b,$0.000002281,N/A
+0.00%,N/A,KeplerSwap,$0.01093,$314
+23.31%,N/A,Kepple,$0.00008781,"$466,345"
-18.74%,N/A,KeptChain,$0.009617,$674
-0.43%,N/A,Kermit,$0.0003304,N/A
+0.00%,N/A,KERMIT,$0.00000001216,"$222,664"
+3.69%,N/A,Kermit,$0.00028,"$30,977"
-0.98%,N/A,Kermit,$0.0001856,$331
+0.10%,N/A,Kermit,$0.000004513,"$635,308"
-6.68%,N/A,Kermit,$0.004006,N/A
+0.00%,N/A,Kermit Inu,$0.00000000006186,N/A
+0.00%,N/A,KermitTheCoin,$0.000004265,N/A
+0.00%,N/A,KEROPPI,$0.00000000004108,N/A
+0.00%,N/A,Kesef Finance,$0.004541,$18
+2.37%,N/A,Ketaicoin,$0.0000000002408,"$7,227"
-19.47%,N/A,Ketamine,$0.0001588,N/A
+0.00%,N/A,Kevacoin,$0.0001894,N/A
+0.00%,N/A,Kevin,$0.00000000002562,$524
+1.64%,N/A,KEVIN,$0.0000003181,N/A
+0.00%,N/A,Kewl,$0.000877,N/A
+0.00%,N/A,KEY,$0.0001804,$2.41 M
-11.08%,N/A,Keyboard Cat,$0.006468,"$59,233"
+1.13%,N/A,KeyOfLife Multichain Store Of Value,$1.18,N/A
-31.33%,N/A,Keys Token,$0.001118,N/A
+0.00%,N/A,Keysians Network,$0.31,N/A
+0.00%,N/A,KeySwap,$0.00002319,$2.7 M
-0.53%,N/A,Khaby Lame,$0.01361,N/A
+0.00%,N/A,Khaos Finance,$0.0000000003827,"$4,402"
+0.00%,N/A,Kiba,$0.00085,N/A
+0.00%,N/A,KibbleSwap,$0.000005911,N/A
+0.00%,N/A,KICK.IO,$0.005409,N/A
+0.00%,N/A,Kickstarter,$0.000000001,N/A
+0.00%,N/A,Kid Goku,$0.00003137,N/A
+0.00%,N/A,Kika,$0.0007112,N/A
+0.00%,N/A,Kiki,$0.0002892,N/A
+0.00%,N/A,KIKI,$0.00000001784,N/A
+0.00%,N/A,KiKi.finance,$0.7694,N/A
+0.00%,N/A,KIKO,$0.00000000001558,N/A
+0.00%,N/A,KIKO INU,$0.0000001521,N/A
+0.00%,N/A,Kikswap,$0.000001894,N/A
+0.00%,N/A,Kiku Inu,$0.000000000008603,N/A
+0.00%,N/A,Killforcoin,$0.0000002498,N/A
+0.00%,N/A,KillShotV2,$0.0001832,$92
-0.49%,N/A,KillSolana,$0.0000003781,N/A
+0.00%,N/A,KillSwitch,$0.008815,N/A
+0.00%,N/A,KILLTHEZERO,$0.0000000126,N/A
+0.00%,N/A,Killua Inu,$0.0000001423,N/A
+0.00%,N/A,Kilo Shiba Inu,$0.0135,N/A
+0.00%,N/A,Kilopi,$0.0001954,"$209,006"
-3.54%,N/A,Kim Exchange,$0.03064,"$1,379"
-0.17%,N/A,KIM YONG EN,$0.0002247,N/A
+2.19%,N/A,KIMCHI.finance,$0.00001753,N/A
+0.00%,N/A,kimchichi,$0.000000000004207,N/A
+0.00%,N/A,Kimetsu Inu,$0.00000004474,N/A
+0.00%,N/A,Kimochi Finance,$0.00003432,N/A
+0.00%,N/A,KIN INU,$0.00000000726,N/A
+0.00%,N/A,Kinance,$0.0002433,N/A
+0.00%,N/A,Kind Ads Token,$0.1166,N/A
+0.00%,N/A,Kindcow Finance,$0.0002763,N/A
+0.00%,N/A,Kinder Inu,$0.00004021,N/A
+0.00%,N/A,Kindly,$0.008626,N/A
+0.00%,N/A,Kindness For Soul,$43.06,N/A
+0.00%,N/A,Kindness For Soul (new),$43.77,N/A
+0.00%,N/A,Kinect Finance,$0.00489,N/A
+0.00%,N/A,Kinetic Synthetic UST,$0.008438,N/A
+0.00%,N/A,King Arthur,$0.0000000001025,N/A
+0.00%,N/A,King Bean,$0.00000001785,$0.1361
-0.22%,N/A,King Bonk,$0.0000000000003396,$133
-0.51%,N/A,King Cat,$0.0000000000003123,N/A
-0.00%,N/A,King Dog Inu,$0.000005111,N/A
+0.00%,N/A,King Finance,$0.006124,N/A
+0.00%,N/A,King Floki,$0.0000002347,N/A
+0.00%,N/A,KING FOREVER,$0.0000000000005844,N/A
+0.00%,N/A,King Grok,$0.0000000000002831,N/A
+0.00%,N/A,King Kong,$0.00000001698,$126
-5.36%,N/A,KING OF CATS,$0.000006847,N/A
+0.00%,N/A,KING OF DEFI,$0.9456,"$174,353"
-17.30%,N/A,King Of Memes,$0.000001704,N/A
+0.00%,N/A,KING SAMO,$0.0000005976,N/A
+0.00%,N/A,KING SHIBA INU,$0.0008643,$111
+2.22%,N/A,King Slerf,$0.00008509,N/A
+0.00%,N/A,King Sora,$0.0000000000001166,N/A
+0.00%,N/A,King Trump,$0.00000000000008678,N/A
+0.00%,N/A,King WIF,$0.0000000000001151,"$58,102"
-0.17%,N/A,Kingaru,$0.04923,N/A
+0.00%,N/A,KingCorgi Chain,$0.00006934,N/A
+0.00%,N/A,Kingdom,$0.00000008905,N/A
+0.00%,N/A,Kingdom Coin,$0.0001101,$578
+1.88%,N/A,Kingdom Karnage,$0.0009083,"$5,751"
-5.73%,N/A,Kingdom of Ants,$0.02534,N/A
+0.00%,N/A,Kingdom Quest,$0.0008557,$49
-1.38%,N/A,Kingdom Raids,$0.0002495,N/A
+0.00%,N/A,Kingdoms,$0.000001114,N/A
+0.00%,N/A,Kingdomswap,$0.0000004607,N/A
+0.00%,N/A,Kingdomswap (New),$0.002775,"$303,742"
+0.12%,N/A,Kingdomverse,$0.001162,N/A
+0.00%,N/A,Kingfund Finance,$0.107,N/A
+0.00%,N/A,Kingmaker,$0.00001086,N/A
+0.00%,N/A,KingMoney,$12.25,N/A
+0.00%,N/A,KingPad,$0.07756,N/A
+0.00%,N/A,KINGPEPE,$0.000000000009096,$2
+13.89%,N/A,KINGPEPE,$0.00002487,N/A
+0.00%,N/A,Kings Coin,$0.00000007118,N/A
+0.00%,N/A,Kingtama,$0.002273,N/A
+0.00%,N/A,KINGU,$0.001461,N/A
+1.78%,N/A,KingXChain,$0.00003857,"$7,062"
-4.84%,N/A,KINGYTON,$0.3328,"$214,171"
+1.20%,N/A,Kinka,"$2,364.87",N/A
+0.00%,N/A,KinkyMilady,$0.00000000000769,N/A
+0.00%,N/A,Kino Token,$0.00000000005014,N/A
+0.00%,N/A,Kintaman,$0.00003772,N/A
+0.00%,N/A,Kintsugi BTC,"$29,276.34",N/A
+0.00%,N/A,KIRA,$0.0008244,"$65,270"
+24.94%,N/A,Kira the Injective Cat,$0.00006329,N/A
+0.00%,N/A,Kiradoge coin,$0.00000000006951,N/A
+0.00%,N/A,Kirby,$0.0000000001309,N/A
+0.00%,N/A,Kirby CEO,$0.000000000000009044,"$2,221"
-17.35%,N/A,Kirby Inu,$0.0000000000002806,N/A
+0.00%,N/A,Kirobo,$0.001138,N/A
+0.00%,N/A,Kishiburbo,$0.02404,N/A
+0.00%,N/A,Kishimoto,$0.000003566,"$61,499"
+0.00%,N/A,Kishimoto Inu,$0.00003018,N/A
+0.00%,N/A,Kishka,$0.000000001855,N/A
+0.00%,N/A,KishuTama,$0.00000000000000000053,"$32,821"
-14.63%,N/A,Kitsune,$0.0005065,N/A
+0.00%,N/A,Kitsune Inu,$0.00000003935,N/A
+0.00%,N/A,Kitsune Mask,$0.000001259,$127
+4.03%,N/A,Kitten Coin,$0.00000000007296,$1.06 M
-15.27%,N/A,Kitten Haimer,$0.9055,N/A
+0.00%,N/A,Kittens & Puppies,$0.0000001749,$455
+19.11%,N/A,KITTI TOKEN,$0.000000001294,$0.006976
+27.73%,N/A,Kitty AI,$0.003468,N/A
+0.00%,N/A,Kitty Coin,$0.0000000001249,N/A
+0.00%,N/A,Kitty Finance,$1.31,N/A
+0.00%,N/A,Kitty Kat Coin,$0.005831,N/A
+0.00%,N/A,Kitty Ninja,$0.003238,$199
-5.27%,N/A,Kitty Solana,$0.000000001203,$19
-3.77%,N/A,Kitty Token,$0.00000000003618,"$191,642"
+2.68%,N/A,KittyCake,$0.000001921,N/A
+0.00%,N/A,KittyShiba,$0.000000000008231,"$2,117"
+2.52%,N/A,KITTYWIFHAT,$0.0000004664,N/A
+0.00%,N/A,kiwi,$0.003063,N/A
+0.00%,N/A,Kiwi Finance,$0.0167,N/A
+0.00%,N/A,KIWI TOKEN,$0.00005242,N/A
+0.00%,N/A,Kizo Inu,$0.02964,"$35,866"
+7.54%,N/A,KIZUNA,$0.00000001325,$80
-1.82%,N/A,KlayFi Finance,$0.001139,N/A
+0.00%,N/A,KlayGames,$2.04,"$3,069"
-1.65%,N/A,KLAYMETA,$0.01088,$0.3742
-1.08%,N/A,Klaymore Stakehouse,$0.0004487,N/A
+0.00%,N/A,KlayUniverse,$0.00594,N/A
+0.00%,N/A,KLend,$0.04301,$85
+0.54%,N/A,Kleomedes,$0.001931,"$59,811"
+0.37%,N/A,Klever Finance,$0.6451,N/A
-0.08%,N/A,Klimatas,$0.001843,N/A
+0.00%,N/A,Kling,$0.0001188,N/A
+0.00%,N/A,KList Protocol,$0.00185,N/A
+0.00%,N/A,Klondike BTC,"$22,194.10",N/A
+1.78%,N/A,Knekted,$0.00003857,N/A
+0.00%,N/A,Knights & Peasants,$0.00003951,"$8,473"
-12.07%,N/A,Knights of Cathena,$0.0001099,N/A
+0.00%,N/A,Knights of Fantom,$0.4613,"$3,211"
+0.22%,N/A,KnightSwap,$0.001629,"$28,010"
-8.92%,N/A,KNOB$,$0.00005267,N/A
+0.00%,N/A,Knoknok,$0.000008015,N/A
+0.00%,N/A,KnowieGTX,$0.0002398,$420
-2.72%,N/A,KnoxEdge,$0.008947,N/A
+0.00%,N/A,Knuckles Inu,$0.00001772,N/A
+0.00%,N/A,KO RUNE - Rune.Game,$0.6018,N/A
+0.00%,N/A,KoaKombat,$0.000000000007926,N/A
+0.00%,N/A,Koakuma,$0.0000493,$0.8574
+3.36%,N/A,Kobocoin,$0.02127,N/A
+0.00%,N/A,Kochi Ken,$0.00003193,$218
-0.41%,N/A,Koda Cryptocurrency,$0.00003908,N/A
+0.00%,N/A,Kodachi Token,$0.000003802,N/A
+0.00%,N/A,KodexPay,$0.9987,N/A
+0.00%,N/A,Kodi Coin,$0.000003635,N/A
+0.00%,N/A,Koduck,$0.000002792,N/A
+0.00%,N/A,Koduro,$0.000000000351,$3
+1.41%,N/A,KogeCoin.io,$0.001294,N/A
+5.12%,N/A,Koi Finance,$0.07564,$226
+2.67%,N/A,KoinBülteni Token,$0.05384,N/A
+0.00%,N/A,Koinomo,$0.08204,$33
-8.83%,N/A,Koinon,$0.009301,"$33,210"
+0.00%,N/A,Koinswap,$0.000001427,N/A
-99.92%,N/A,KoiPond,$0.01968,N/A
+0.00%,N/A,Koisan,$0.0061,N/A
+0.00%,N/A,KOKA INU,$0.0000002984,N/A
+0.00%,N/A,KokanKano,$0.000004517,N/A
+0.00%,N/A,Kokoswap,$0.3589,N/A
-1.32%,N/A,Kolibri USD,$0.9915,N/A
+0.00%,N/A,KOLO Market,$0.1332,N/A
+0.00%,N/A,Koloop Basic,$0.00166,N/A
+0.00%,N/A,Kols Offering Token,$0.001103,N/A
+0.00%,N/A,Kombai Inu,$0.00000000009387,N/A
+0.00%,N/A,Komet,$15.76,N/A
+0.00%,N/A,Komoverse,$0.00435,"$171,058"
-13.81%,N/A,Kondux,$0.03887,N/A
+0.00%,N/A,KONG,$0.0000001232,N/A
+0.00%,N/A,KONG Land,$534.85,N/A
+0.00%,N/A,Kongtama,$0.00000000000000000082,N/A
+0.00%,N/A,KONJUNGATE,$0.0001019,"$243,145"
-3.69%,N/A,KonnektVPN,$0.0412,$2.83 M
-3.62%,N/A,KonPay,$0.0006409,"$56,483"
+0.03%,N/A,Konstellation Network,$0.0006063,N/A
+0.00%,N/A,Konstrukt,$0.000007823,N/A
+0.00%,N/A,Korea Entertainment Education & Shopping,$0.02059,N/A
+0.00%,N/A,Koreadoge,$0.000053,N/A
+0.00%,N/A,Kori Inu,$0.0000001521,"$24,051"
-8.39%,N/A,KORRA,$0.003641,$4
-0.15%,N/A,Kortana,$0.0003061,N/A
+0.00%,N/A,Kostren Finance,$25.13,N/A
+0.00%,N/A,Kounotori,$0.000000001309,"$8,977"
-2.82%,N/A,Koyo,$0.00103,N/A
+0.00%,N/A,KP2R.Network,$0.07037,$4
-0.65%,N/A,KPAPA,$0.00000003146,"$328,215"
+3.57%,N/A,KPOP,$0.0002302,N/A
+0.00%,N/A,Krabots,$0.004845,N/A
-0.03%,N/A,Kragger Inu,$0.00009997,N/A
+0.00%,N/A,KRAKENPAD,$0.006151,N/A
+0.00%,N/A,Kranz Token,$0.000000264,N/A
+0.00%,N/A,Krause,$0.8801,"$41,070"
-5.94%,N/A,Kreaitor,$0.03059,N/A
+0.00%,N/A,KRED,$0.000004141,"$258,757"
-5.33%,N/A,Krest Network,$0.2154,N/A
+0.00%,N/A,Krill,$0.01644,N/A
+0.00%,N/A,Krill,$0.0001266,N/A
+0.00%,N/A,Kripto Galaxy Battle,$0.01279,N/A
+0.00%,N/A,Kripton,$0.00007481,$0.7814
+0.00%,N/A,KROME Shares,$0.001549,N/A
+0.00%,N/A,KROME stablecoin,$0.00000000003717,"$20,049"
+15.73%,N/A,Kronobit Networks Blockchain,$0.0006945,N/A
+0.00%,N/A,Kronos DAO,$0.001623,N/A
+0.00%,N/A,Kronos Dao,$0.0001024,N/A
+0.00%,N/A,KRoot,$0.0011,N/A
+0.00%,N/A,Kross Chain LaunchPad,$0.000121,N/A
-0.02%,N/A,Krosscoin,$1.03,N/A
+0.00%,N/A,Krypdraw,$0.05949,N/A
+0.00%,N/A,Krypto Kitty,$0.000000000248,N/A
+0.00%,N/A,Krypto Pets,$0.00000000000003549,"$103,429"
+10.77%,N/A,Kryptonite,$0.02758,N/A
+0.85%,N/A,Kryxivia,$0.001521,N/A
-6.55%,N/A,KRYZA Exchange,$0.01161,N/A
+0.00%,N/A,KRYZA Network,$0.0001222,$820
+24.66%,N/A,KRYZA Network,$0.0003321,N/A
+1.15%,N/A,KSM Starter,$0.00274,$245
-0.00%,N/A,KStarCoin,$0.00006955,$10.91 M
+7.70%,N/A,KStarNFT,$0.003826,N/A
+0.00%,N/A,KSwap,$0.000168,$50
-0.01%,N/A,KTK project,$0.0001,"$823,610"
-2.81%,N/A,KTX.Finance,$0.54,N/A
+0.00%,N/A,Kuai Token,$0.004117,N/A
+0.00%,N/A,Kuber Finance,$0.00001133,N/A
+0.00%,N/A,Kudoe,$0.0004088,N/A
+0.00%,N/A,KuDoge,$0.0000000002191,N/A
+0.00%,N/A,KuKu,$0.000000006446,N/A
+0.00%,N/A,Kult of Kek,$0.000007515,N/A
+0.00%,N/A,Kulupu,$0.00192,N/A
+0.00%,N/A,KumaBear,$0.0000002779,$549
-0.32%,N/A,KumaDex Token,$0.0004593,N/A
+0.00%,N/A,Kumamon,$0.000007098,N/A
+0.00%,N/A,Kumu Finance,$0.0001271,"$21,432"
+14.41%,N/A,KunaiKash,$0.06171,N/A
+0.00%,N/A,KungFu Inu,$0.00000000000006855,"$6,712"
-1.19%,N/A,Kunji Finance,$0.1629,N/A
+0.00%,N/A,KunoichiX,$0.00000000006888,N/A
+0.00%,N/A,KuPay,$0.009793,N/A
+0.00%,N/A,Kurai Inu,$0.0000000001919,$0.00000371
+0.00%,N/A,Kuro Shiba,$0.00000000000000000017,N/A
+0.00%,N/A,Kuro Token,$0.00000002072,N/A
-0.09%,N/A,Kurrent,$0.001418,N/A
+0.00%,N/A,Kusa Inu,$0.00002477,"$159,426"
+1.60%,N/A,Kusunoki Samurai,$0.0000000000363,N/A
+0.00%,N/A,Kuwa Oracle,$0.000001286,N/A
+0.00%,N/A,KUY Token,$0.01517,N/A
+0.00%,N/A,KVerse Society,$0.000000000008463,$554
-0.60%,N/A,KWAI Labs,$0.1119,N/A
+0.00%,N/A,KWHCoin,$0.4643,N/A
-12.89%,N/A,Kyberdyne,$0.000754,N/A
+0.00%,N/A,KYCCOIN,$0.01455,$46
-4.55%,N/A,Kylacoin,$96.77,N/A
+0.00%,N/A,Kylon Project,$0.00007388,N/A
+0.00%,N/A,Kyoto Protocol,$10.40,"$1,602"
-2.71%,N/A,KyotoSwap,$0.2081,N/A
+0.00%,N/A,Kyouneko,$0.0000007855,"$82,524"
+2.13%,N/A,Kyrrex,$0.1062,N/A
+0.00%,N/A,KYSC Token,$0.000032,N/A
+0.00%,N/A,Kyte.One,$0.006899,N/A
-0.00%,N/A,Kyuubi,$0.00000115,"$34,074"
+1.15%,N/A,L,$0.0000008365,$6
+4.51%,N/A,L3USD,$0.2328,N/A
+0.00%,N/A,La Casa De Papel,$0.000008995,N/A
+0.00%,N/A,La Doge de Papel,$0.0000000992,N/A
+0.00%,N/A,La Peseta,$0.0000000004877,N/A
-0.03%,N/A,La Peseta,$0.002185,N/A
+0.00%,N/A,LabraCoin,$0.0000000003234,N/A
+0.00%,N/A,LABS Protocol,$0.00009238,$14
+3.79%,N/A,Lacostoken,$0.00000007065,N/A
+0.00%,N/A,LaCucina,$0.0185,N/A
+2.49%,N/A,LADA,$0.000008719,N/A
+7.73%,N/A,LadderCaster,$0.0002504,N/A
+0.00%,N/A,Lady PePe CEO,$0.000003864,N/A
+0.00%,N/A,LadyGuys,$0.0000000000133,N/A
+0.00%,N/A,Ladyminers,$0.004325,N/A
+0.00%,N/A,LAdysCEOINU,$0.0000000000261,N/A
+0.00%,N/A,LadyWojak,$0.00000000000001796,N/A
+0.00%,N/A,LaEeb,$0.00000000009692,N/A
+0.00%,N/A,Laeeb Inu,$0.0001998,N/A
+0.00%,N/A,Laeeb Inu,$0.00000499,N/A
+0.00%,N/A,LaEeb Token,$0.00000000001197,N/A
+0.00%,N/A,Laelaps,$0.000116,"$1,175"
-0.01%,N/A,Laika,$0.0000004038,N/A
+0.00%,N/A,LaikaDog,$0.0000003038,N/A
+0.00%,N/A,LaikaProtocol,$0.0000000007009,$560
+1.06%,N/A,Lambda Markets,$0.01302,N/A
+0.00%,N/A,Lambo and Moon,$0.00000000000006012,N/A
+0.00%,N/A,Lamborghinu,$0.000002191,N/A
+0.00%,N/A,Lamden,$0.00197,N/A
+0.00%,N/A,LAMEA,$0.000009896,N/A
+0.00%,N/A,Land Of Realms,$0.00003625,N/A
+0.00%,N/A,Land Wolf,$0.00000001772,$5
-0.02%,N/A,Landboard,$0.003802,N/A
+0.00%,N/A,LandOrc,$0.4895,"$800,379"
+10.48%,N/A,LandRocker,$0.005171,N/A
+0.00%,N/A,LANDWOLF,$0.0000000003571,"$513,374"
+0.43%,N/A,Landwolf,$0.00001898,"$359,722"
+4.69%,N/A,LANDWOLF,$0.00001874,"$452,314"
+0.23%,N/A,LANDWOLF,$0.0000000005781,"$164,494"
-24.78%,N/A,Landwolf,$0.000003138,"$493,636"
-17.88%,N/A,Landwolf,$0.00000001578,$2.29 M
-11.91%,N/A,Landwolf,$0.00006349,"$17,219"
-6.32%,N/A,Landwolf,$0.000002262,"$180,933"
+46.13%,N/A,Lanify,$0.01841,N/A
+0.00%,N/A,Lanuna,$0.01564,"$3,871"
+16.13%,N/A,Lapis Inu,$0.0001126,N/A
+0.00%,N/A,Largo Coin,$0.04102,"$58,022"
-5.14%,N/A,Larix,$0.0001476,N/A
+0.00%,N/A,Laro Classic,$0.002001,N/A
+0.00%,N/A,LARP,$0.0001008,"$8,552"
+4.29%,N/A,LarryCoin,$0.000006417,N/A
+0.00%,N/A,larrywifhat,$0.000004542,N/A
+0.00%,N/A,Larva Blue,$0.00000000000255,N/A
+0.00%,N/A,Larva Inu,$0.00000008235,$150
+0.09%,N/A,LaserEyes,$0.001217,N/A
+0.00%,N/A,lasrever,$0.00004978,N/A
+0.00%,N/A,Lassie Inu,$0.00000000004564,N/A
+0.00%,N/A,LassoCoin,$21.83,$2
-0.84%,N/A,Last Survivor,$0.000006388,N/A
+0.00%,N/A,Latamcash,$0.00002149,N/A
+0.00%,N/A,LatteSwap,$0.0002455,N/A
+0.00%,N/A,LaunchMyNFT,$0.003969,N/A
+0.00%,N/A,Launchpad TG DAO 3.0,$0.000243,"$34,659"
+4.24%,N/A,Launchpool,$0.207,N/A
+0.00%,N/A,LaunchVerse,$0.0001241,N/A
+0.00%,N/A,LaunchWall,$0.1948,N/A
+0.00%,N/A,LaunchZone (LZP),$0.000001535,N/A
+0.00%,N/A,Lava Financial,$0.0000007908,N/A
+0.00%,N/A,Lavafall Finance,$0.01367,"$6,481"
-4.60%,N/A,Lavandos,$0.0001612,N/A
+1.85%,N/A,LavaSwap,$0.002083,"$31,707"
+5.68%,N/A,Lavita AI,$0.01162,"$998,792"
+27.09%,N/A,Law Of Attraction,$0.06553,N/A
+0.00%,N/A,LAW TOKEN,$0.00002237,N/A
+0.00%,N/A,Layer 4 Network,$0.0009432,N/A
+0.00%,N/A,Layer Network,$0.000005106,"$2,666"
+64.09%,N/A,Layer2DAO,$0.0007858,N/A
+0.00%,N/A,Layer3,$328.55,"$45,360"
-0.91%,N/A,Layerium,$0.004579,N/A
+0.00%,N/A,Lazy Horse Race Club,$0.0001014,N/A
+0.00%,N/A,La´eeb,$0.00000001753,$1.74 M
-0.31%,N/A,LBK,$0.01077,N/A
+0.00%,N/A,LBViVi,$0.00006297,N/A
+0.00%,N/A,LCG,$0.0042,N/A
+0.00%,N/A,Le Monke,$0.00004236,N/A
+0.00%,N/A,Leafty,$0.004882,N/A
+0.00%,N/A,League of Zodiacs,$0.0006197,N/A
+4.20%,N/A,Lean Management Token,$0.00006268,$798
-1.20%,N/A,Leandro Lopes,$0.06499,N/A
+0.00%,N/A,LEAP Token,$0.06998,N/A
+0.00%,N/A,LeapableIO,$0.0009372,N/A
+0.00%,N/A,Learning Block,$0.00001025,$191
+0.00%,N/A,Learning Cash,$0.00000000002333,N/A
+0.00%,N/A,Learning Cash,$0.000000000002124,N/A
+0.00%,N/A,Learning Star,$0.00004786,N/A
+0.00%,N/A,Leash Club,$0.00000429,N/A
+0.00%,N/A,LedgerLand,$0.01449,N/A
+0.00%,N/A,LedgerScore,$0.001078,N/A
+0.00%,N/A,Ledgity,$0.001858,$0.4245
+121.16%,N/A,LeetSwap,$0.8763,"$11,688"
-0.96%,N/A,Legacy ICHI,$3.00,N/A
+0.00%,N/A,LegalBlock,$0.00006087,"$273,589"
+0.00%,N/A,Legend of Annihilation,"$3,407.09",N/A
+0.00%,N/A,Legend Of Galaxy,$0.00461,N/A
+0.00%,N/A,Legend of RPS,$0.1355,N/A
+1.40%,N/A,Legends,$0.000001372,N/A
+0.00%,N/A,Legends of Aria,$0.0002611,N/A
+0.00%,N/A,Legends of Mitra,$0.001835,N/A
+0.00%,N/A,LegioDAO,$0.0004087,N/A
+0.00%,N/A,LegioDAO,$0.0007003,"$73,606"
-0.17%,N/A,Legion Network,$0.003923,N/A
